Product;Description;Depot PF OUED SMAR Bisma;RDC ALGER;RDC ANNABA;RDC EULMA;RDC ORAN;USINE DE FABRICATION
;;105 / Stock;401 / Stock;404 / Stock;402 / Stock;403 / Stock;21 / Stock
TAC-24CHSA/XAA1T-INDOOR;Climatiseur  24000 on/off T3 TROPICAL-INDOOR;0;148.0;49.0;305.0;0;0
TAC-24CHSA/XAA1T-OUTDOOR;Climatiseur  24000 on/off T3 TROPICAL-OUTDOOR;0;148.0;49.0;236.0;0;0
TAC-36CHFA/FHI;Climatiseur TCL Armoire  36000 btu  Inverter;0;0;0;0;0;0
TAC-36CHFA/FHI-INDOOR;Climatiseur TCL Armoire  36000 btu  Inverter  -INDOOR;0;4.0;0.0;22.0;4.0;0
TAC-36CHFA/FHI-OUTDOOR;Climatiseur TCL Armoire  36000 btu  Inverter  -OUTDOOR;0;4.0;0.0;24.0;4.0;0
TAC-42CHFA/FHI;Climatiseur TCL Armoire  42000 btu  Inverter;0;0;0;0;0;0
TAC-42CHFA/FHI-INDOOR;Climatiseur TCL Armoire  42000 btu  Inverter  -INDOOR;0;11.0;8.0;28.0;1.0;23.0
TAC-42CHFA/FHI-OUTDOOR;Climatiseur TCL Armoire  42000 btu  Inverter  -OUTDOOR;0;11.0;8.0;28.0;1.0;17.0
TAC-60CHFA/FDI;Climatiseur TCL Armoire  60000 btu  Inverter;0;0;0;0;0;0
TAC-60CHFA/FDI-INDOOR;Climatiseur TCL Armoire  60000 btu  Inverter  -INDOOR;0;9.0;0;34.0;1.0;0
TAC-60CHFA/FDI-OUTDOOR;Climatiseur TCL Armoire  60000 btu  Inverter  -OUTDOOR;0;9.0;0;34.0;1.0;0
UA32N5000ASCBM-BISMA;"LED 32 "" FHD - BISMA";0;74.0;12.0;251.0;0;0
UA32T5300AUCBM-BISMA;"TELEVISEUR LED 32"" HD S5 SMART - BISMA";0;102.0;2.0;4.0;54.0;0
UA43N5000ASCBM-BISMA;TV 43 FHD - BISMA;0;0;0;2.0;0;0
UA43T5300AUCBM-BISMA;LED 43 FHD SMART - BISMA;0;0;0;6.0;0;0
UA50AU7000U-BISMA;"TELEVISEUR LED 50"" UHD S7 SMART - BISMA";0;0;0;2.0;1.0;0
UA50AU7000UCBM-BISMA;TV 50'' CRYSTAL UHD 4K SMART MIB  - BISMA;0;3.0;208.0;0;0;0
UA58TU7000UXBM-BISMA;LED 58'' Crystal  - BISMA;0;0;0;1.0;0;0
UA65RU7100SCBM-BISMA;"TELEVISEUR LED 65"" SMART 4K - BISMA";0;0;4.0;0;0;0
