Désignation;Référence;code article;UM;Stock initial;Réceptions;Production;Stock Final;SHORTAGE
WM;C2111FLB;;PCS; 1 530 ; - ; 1 528 ; 2 ;  -  
WM;C2111WDB;;PCS; 612 ; - ; 610 ; 2 ;  -  
WM;C512FLG;;PCS; - ; - ; 304 ;-304 ;  -  
WM;SLV13-62ADB;;PCS; - ; - ; 161 ;-161 ;  -  
WM;SLV13-62ADS;;PCS; - ; - ; 162 ;-162 ;  -  
WM;SLV13-62ADX;;PCS; - ; - ; 480 ;-480 ;  -  
EMBALLAGEWM;FICHE GARANTIE kiksin;;Ps; 6 000 ; - ; - ; 6 000 ;
EMBALLAGEWM;FICHE FRECHEUR;;Ps; 1 500 ; - ; - ; 1 500 ;
EMBALLAGEWM;LABEL 60*20;;Ps; 40 500 ; - ; - ; 40 500 ;
EMBALLAGEWM;LABEL 50*20;;Ps; 53 000 ; - ; 50 000 ; 3 000 ;
EMBALLAGEWM;LABEL 50*120;;Ps; 40 000 ; - ; 33 600 ; 6 400 ;
EMBALLAGEWM;LABEL 58*67;;Ps; 14 000 ; - ; 2 000 ; 12 000 ;
WM;SKY HOOD CL-60-2IN ;;; - ; - ; 94 ;;
WM;SKY HOOD CL-90-2IN;;; - ; - ; - ;;
WM;ST60-4BE1X 90016132;;Ps; 2 ; - ; - ; 2 ;
WM;ST60-4BFS2X 90016133;;Ps; 1 ; - ; - ; 1 ;
WM;ST60-4BSW4GB 90016134;;Ps; 5 ; - ; - ; 5 ;
WM;ST60-4BSW3X 90016135;;Ps; 6 ; - ; - ; 6 ;
WM;ST70-5BEW5X 90016136;;Ps; 2 ; - ; - ; 2 ;
WM;ST70-5BFS6X 90016137;;Ps; 4 ; - ; - ; 4 ;
WM;ST70-5BSW7GB 90016138;;Ps; - ; - ; - ; - ;
WM;LABEL PACKING All model 100*80;ET-10080;PC; 6 500 ; - ; - ; 6 500 ;
WM;LABEL PACKING All model 110*80;ET-11080;PC; 12 906 ; - ; 1 000 ; 47 906 ;
WM;3M Adhesive Tape (33M/ROLL)this is accessories to tape the glass(Width 10mm*Thickness 1.0mm);LT-0001;M; 41 427 ; - ; - ; 41 427 ;
EMBALLAGEWM;Warranty Card Samsung;6801-002338;PC; 8 122 ; - ; - ; 8 122 ;
EMBALLAGEWM;Etiquette d'impression 85x67 PP;ET03-000011;PC; - ; - ; 1 000 ; 1 000 ;
RESINE;ABS NOIRE GP-22 TERLURAN BK10009;;KG; - ; - ; - ;;
RESINE;COLORANT PP WHITE;;KG; - ; - ; - ;;
RESINE;COLORANT ABS NOIR;;KG; - ; - ; - ;;
RESINE;ABS GRIS RM-0760;;KG; - ; - ; - ;;
TVCKD;UA43F8000FUSBM;;PCS; 1 060 ; - ; - ;  -  ;  -  
TVCKD;UA58AU8000UCBM;;PCS; 680 ; - ; - ;  -  ;  -  
